"","recRank","college","recCommits","year","conference"
"200",50,"Rutgers",25,"2017","Big Ten"
"201",51,"NC State",26,"2017","ACC"
"202",52,"Oregon State",25,"2017","Pac-12"
"203",53,"Iowa State",24,"2017","Big 12"
"204",54,"Missouri",25,"2017","SEC"
"205",55,"Illinois",25,"2017","Big Ten"
"206",56,"West Virginia",21,"2017","Big 12"
"207",57,"Indiana",21,"2017","Big Ten"
"208",58,"Minnesota",24,"2017","Big Ten"
"209",59,"Purdue",24,"2017","Big Ten"
"210",60,"Vanderbilt",20,"2017","SEC"
"211",61,"California",24,"2017","Pac-12"
"212",62,"Houston",24,"2017","American"
"213",63,"Boston College",26,"2017","ACC"
"214",64,"Memphis",25,"2017","American"
"215",65,"Wake Forest",26,"2017","ACC"
"216",66,"Kansas State",22,"2017","Big 12"
"217",67,"Kansas",19,"2017","Big 12"
"218",68,"UCF",23,"2017","American"
"219",69,"Boise State",21,"2017","Mountain West"
"220",70,"BYU",25,"2017","Independent"
"221",71,"South Florida",27,"2017","American"
"222",72,"Florida Atlantic",21,"2017","C-USA"
"223",73,"UTSA",22,"2017","C-USA"
"224",74,"Colorado State",30,"2017","Mountain West"
"225",75,"Cincinnati",21,"2017","American"
"226",1,"Georgia",24,"2018","SEC"
"227",2,"Ohio State",21,"2018","Big Ten"
"228",3,"Texas",24,"2018","Big 12"
"229",4,"Penn State",26,"2018","Big Ten"
"230",5,"Clemson",27,"2018","ACC"
"231",6,"Alabama",27,"2018","SEC"
"232",7,"USC",27,"2018","Pac-12"
"233",8,"Miami",30,"2018","ACC"
"234",9,"Notre Dame",28,"2018","Independent"
"235",10,"Oklahoma",25,"2018","Big 12"
"236",11,"Florida State",19,"2018","ACC"
"237",12,"Auburn",25,"2018","SEC"
"238",13,"Florida",24,"2018","SEC"
"239",14,"LSU",25,"2018","SEC"
"240",15,"Washington",23,"2018","Pac-12"
"241",16,"Texas A&M",28,"2018","SEC"
"242",17,"Oregon",24,"2018","Pac-12"
"243",18,"South Carolina",23,"2018","SEC"
"244",19,"UCLA",22,"2018","Pac-12"
"245",20,"Michigan",21,"2018","Big Ten"
"246",21,"Nebraska",31,"2018","Big Ten"
"247",22,"Virginia Tech",24,"2018","ACC"
"248",23,"Tennessee",22,"2018","SEC"
"249",24,"Baylor",19,"2018","Big 12"
"250",25,"TCU",24,"2018","Big 12"
"251",26,"North Carolina",23,"2018","ACC"
"252",27,"Mississippi State",22,"2018","SEC"
"253",28,"Louisville",24,"2018","ACC"
"254",29,"NC State",20,"2018","ACC"
"255",30,"Minnesota",25,"2018","Big Ten"
